Categoria;Item;Descrição;Preço (R$);Código;Foto (URL)
Piteiras;FULL COLOR SLIM;Piteira;65,00;404;https://images.tcdn.com.br/img/img_prod/1211384/full_color_slim_1153_1_58f303ab30d0ccbf7e6700b15a123aa7.png
Piteiras;NOWDAYS PITEIRA;Piteira;12,90;279;https://images.tcdn.com.br/img/img_prod/1211384/nowdays_piteira_821_1_b24994bbe108757fbd19a2aac3c13b5f.jpeg
Piteiras;PAPELITO BIODEGRADAVEL MEGA LONGA;Piteira;14,00;272;https://images.tcdn.com.br/img/img_prod/1211384/papelito_biod_mega_longa_805_1_e575d1f73bebc53597e40c6bd45276d1.jpeg
Piteiras;PITEIRA RAW PROTIPS;Piteira RAW PERFORATED;24,00;275;https://images.tcdn.com.br/img/img_prod/1211384/raw_perforated_wide_tips_811_1_3796605cdedc5b03f93509367a20cffa.jpeg
Piteiras;RAW - PITEIRA DE MADEIRA DOUBLE;Piteira;215,00;273;https://images.tcdn.com.br/img/img_prod/1211384/raw_piteira_de_madeira_double_807_1_0b9a48c7843a57ef69e63e0452c06043.jpeg
Piteiras;RAW - RAWL BOOK 480 UN;Piteira RAW PERFORATED;200,00;445;https://images.tcdn.com.br/img/img_prod/1211384/raw_rawl_book_480_un_1_20251008162619_7ed286080498.png
Piteiras;SQUADAFUM LARGE;Piteira;13,00;276;https://images.tcdn.com.br/img/img_prod/1211384/squadafum_large_813_1_0c6b564acff52b03a085bb52f0ccc23a.jpeg
Isqueiros;BIC GRANDE;Isqueiro;16,00;90;https://images.tcdn.com.br/img/img_prod/1211384/isqueiro_bic_grande_265_1_8c7f3a2041462cf0cf002536d107b350.jpg
Isqueiros;CAPINHA BIC GRANDE;Isqueiro;23,00;444;
Isqueiros;CLIPPER;Isqueiro;25,00;91;https://images.tcdn.com.br/img/img_prod/1211384/isqueiro_clipper_267_1_ce806630f8b6a36c1e173aa81d9f3d52.jpg
Isqueiros;HIPER AUTOMÁTICO;Isqueiro;5,00;92;https://images.tcdn.com.br/img/img_prod/1211384/hiper_automatico_269_1_4d3f7af805230d9953d6ebf39606581a.jpeg
Isqueiros;ZIPPO NUMBER ON;Isqueiro;320,00;105;https://images.tcdn.com.br/img/img_prod/1211384/isqueiro_zippo_number_on_amarelo_329_1_4d5a21b72b910d0d4562847396539cbd.jpg
Essências de narguile;ADALYA - BANANA MILK ICE;Essência para narguile;34,00;546;https://images.tcdn.com.br/img/img_prod/1211384/adalya_113_1_fdde16eb6d0aeab65f13e9df3cf3d0e5.jpg
Essências de narguile;ADALYA - BLUE MELON;Essência para narguile;34,00;543;https://images.tcdn.com.br/img/img_prod/1211384/adalya_113_1_fdde16eb6d0aeab65f13e9df3cf3d0e5.jpg
Essências de narguile;ADALYA - BLUE MOON;Essência para narguile;34,00;545;https://images.tcdn.com.br/img/img_prod/1211384/adalya_113_1_fdde16eb6d0aeab65f13e9df3cf3d0e5.jpg
Essências de narguile;ADALYA - CHAVES;Essência para narguile;34,00;554;https://images.tcdn.com.br/img/img_prod/1211384/adalya_113_1_fdde16eb6d0aeab65f13e9df3cf3d0e5.jpg
Essências de narguile;ADALYA - GIPSY KINGS;Essência para narguile;34,00;538;https://images.tcdn.com.br/img/img_prod/1211384/adalya_113_1_fdde16eb6d0aeab65f13e9df3cf3d0e5.jpg
Essências de narguile;ADALYA - HAWAII;Essência para narguile;34,00;547;https://images.tcdn.com.br/img/img_prod/1211384/adalya_113_1_fdde16eb6d0aeab65f13e9df3cf3d0e5.jpg
Essências de narguile;ADALYA - HOMER SIMPSONS;Essência para narguile;34,00;555;https://images.tcdn.com.br/img/img_prod/1211384/adalya_113_1_fdde16eb6d0aeab65f13e9df3cf3d0e5.jpg
Essências de narguile;ADALYA - LA CREAM;Essência para narguile;34,00;542;https://images.tcdn.com.br/img/img_prod/1211384/adalya_113_1_fdde16eb6d0aeab65f13e9df3cf3d0e5.jpg
Essências de narguile;ADALYA - LA MUERTE;Essência para narguile;34,00;550;https://images.tcdn.com.br/img/img_prod/1211384/adalya_113_1_fdde16eb6d0aeab65f13e9df3cf3d0e5.jpg
Essências de narguile;ADALYA - LOVE66;Essência para narguile;45,00;556;https://images.tcdn.com.br/img/img_prod/1211384/adalya_113_1_fdde16eb6d0aeab65f13e9df3cf3d0e5.jpg
Essências de narguile;ADALYA - MARIO BROTHERS;Essência para narguile;34,00;551;https://images.tcdn.com.br/img/img_prod/1211384/adalya_113_1_fdde16eb6d0aeab65f13e9df3cf3d0e5.jpg
Essências de narguile;ADALYA - MESTRE MYAGI;Essência para narguile;34,00;549;https://images.tcdn.com.br/img/img_prod/1211384/adalya_113_1_fdde16eb6d0aeab65f13e9df3cf3d0e5.jpg
Essências de narguile;ADALYA - MOON SUGAR;Essência para narguile;34,00;541;https://images.tcdn.com.br/img/img_prod/1211384/adalya_113_1_fdde16eb6d0aeab65f13e9df3cf3d0e5.jpg
Essências de narguile;ADALYA - OH MY BLUE;Essência para narguile;34,00;40;https://images.tcdn.com.br/img/img_prod/1211384/adalya_113_1_fdde16eb6d0aeab65f13e9df3cf3d0e5.jpg
Essências de narguile;ADALYA - POPEYE;Essência para narguile;34,00;548;https://images.tcdn.com.br/img/img_prod/1211384/adalya_113_1_fdde16eb6d0aeab65f13e9df3cf3d0e5.jpg
Essências de narguile;ADALYA - SEVEN SEAS;Essência para narguile;34,00;539;https://images.tcdn.com.br/img/img_prod/1211384/adalya_113_1_fdde16eb6d0aeab65f13e9df3cf3d0e5.jpg
Essências de narguile;ADALYA - SHEIK MONEY;Essência para narguile;34,00;553;https://images.tcdn.com.br/img/img_prod/1211384/adalya_113_1_fdde16eb6d0aeab65f13e9df3cf3d0e5.jpg
Essências de narguile;ADALYA - SWISS BONBON;Essência para narguile;34,00;544;https://images.tcdn.com.br/img/img_prod/1211384/adalya_113_1_fdde16eb6d0aeab65f13e9df3cf3d0e5.jpg
Essências de narguile;ADALYA - TAZ-MANGUI;Essência para narguile;34,00;552;https://images.tcdn.com.br/img/img_prod/1211384/adalya_113_1_fdde16eb6d0aeab65f13e9df3cf3d0e5.jpg
Essências de narguile;ADALYA - TWO APPLES;Essência para narguile;34,00;540;https://images.tcdn.com.br/img/img_prod/1211384/adalya_113_1_fdde16eb6d0aeab65f13e9df3cf3d0e5.jpg
Essências de narguile;DEBAJ;Essência para narguile;20,00;42;https://images.tcdn.com.br/img/img_prod/1211384/debaj_119_1_3495b316d93940dce8e286b1091fc880.jpg
Essências de narguile;FUSION;Essência para narguile;22,00;424;https://images.tcdn.com.br/img/img_prod/1211384/fusion_1201_1_da5a910af09d4df298785453d23eced8.jpg
Essências de narguile;MR. LUCKY - LEMON LIME;LIMÃO DOCE;22,00;575;
Essências de narguile;MR. LUCKY - NECTAR OF THE GOODS;Um mix frutado e tropical que remete a néctares exóticos.;22,00;576;
Essências de narguile;MR. LUCKY - ORANGE TANGER;Laranja e Tangerina;22,00;577;
Essências de narguile;NAY  VANILHA;Essência para narguile;24,00;536;https://images.tcdn.com.br/img/img_prod/1211384/nay_139_1_1b062075ce47112724cc18d89fd1da72.jpeg
Essências de narguile;NAY BERRIS BLEND;Essência para narguile;24,00;528;https://images.tcdn.com.br/img/img_prod/1211384/nay_139_1_1b062075ce47112724cc18d89fd1da72.jpeg
Essências de narguile;NAY BISCOITO DE MORANGO;Essência para narguile;24,00;537;https://images.tcdn.com.br/img/img_prod/1211384/nay_139_1_1b062075ce47112724cc18d89fd1da72.jpeg
Essências de narguile;NAY BLUE BLEND;Essência para narguile;24,00;533;https://images.tcdn.com.br/img/img_prod/1211384/nay_139_1_1b062075ce47112724cc18d89fd1da72.jpeg
Essências de narguile;NAY CEREJA BLEND;Essência para narguile;24,00;530;https://images.tcdn.com.br/img/img_prod/1211384/nay_139_1_1b062075ce47112724cc18d89fd1da72.jpeg
Essências de narguile;NAY CHICLETE DE CANELA;Essência para narguile;24,00;527;https://images.tcdn.com.br/img/img_prod/1211384/nay_139_1_1b062075ce47112724cc18d89fd1da72.jpeg
Essências de narguile;NAY FLORESTA NEGRA;Essência para narguile;24,00;534;https://images.tcdn.com.br/img/img_prod/1211384/nay_139_1_1b062075ce47112724cc18d89fd1da72.jpeg
Essências de narguile;NAY GUMMY BLEND;Essência para narguile;24,00;529;https://images.tcdn.com.br/img/img_prod/1211384/nay_139_1_1b062075ce47112724cc18d89fd1da72.jpeg
Essências de narguile;NAY MARACUJA BLEND;Essência para narguile;24,00;532;https://images.tcdn.com.br/img/img_prod/1211384/nay_139_1_1b062075ce47112724cc18d89fd1da72.jpeg
Essências de narguile;NAY PINE BLEND;Essência para narguile;24,00;535;https://images.tcdn.com.br/img/img_prod/1211384/nay_139_1_1b062075ce47112724cc18d89fd1da72.jpeg
Essências de narguile;NAY PYRAMID;Essência para narguile;24,00;49;https://images.tcdn.com.br/img/img_prod/1211384/nay_139_1_1b062075ce47112724cc18d89fd1da72.jpeg
Essências de narguile;NAY SNOW;Essência para narguile;24,00;531;https://images.tcdn.com.br/img/img_prod/1211384/nay_139_1_1b062075ce47112724cc18d89fd1da72.jpeg
Essências de narguile;SMYRNA;Essência para narguile NAY;24,00;466;https://images.tcdn.com.br/img/img_prod/1211384/smyrna_1_20260102144149_e7a52d14617f.png
Essências de narguile;TRESD LOOPS;Essência para narguile DEBAJ;20,00;496;https://images.tcdn.com.br/img/img_prod/1211384/tresd_loops_1_20260418201630_89614f7ca300.jpg
Essências de narguile;ZIGGY  COPA - LARANJA E LIMÃO;COPA 2026-LARANJA E LIMÃO;23,50;574;
Essências de narguile;ZIGGY -  HAPOCALYX MINT;Essência para narguile;23,50;513;
Essências de narguile;ZIGGY -  HAPPY BERRY ( 7 BELO );Essência para narguile;23,50;512;
Essências de narguile;ZIGGY -  HAPPY FRUTTI;Essência para narguile;23,50;514;
Essências de narguile;ZIGGY -  WATERMELON BOMB;LIMÃO ABACAXI, MARACUJÁ E MAMÃO.;23,50;516;
Essências de narguile;ZIGGY - ABACAXI TROPICAL;MARACUJÁ;23,50;526;
Essências de narguile;ZIGGY - BANANA TROPICAL;BANANA TROPICAL;23,50;573;
Essências de narguile;ZIGGY - BURLEY MINT;Essência para narguile;23,50;510;
Essências de narguile;ZIGGY - CHERRY;MARACUJÁ;23,50;525;
Essências de narguile;ZIGGY - FRESH LEMOM;LIMÃO REFRESCANTE;23,50;572;
Essências de narguile;ZIGGY - FRESH MELON;MELÃO REFRESCANTE;23,50;592;
Essências de narguile;ZIGGY - MORANGO E LARANJA;Essência para narguile;23,50;509;
Essências de narguile;ZIGGY - MORANGO TROPICAL;Essência para narguile;23,50;518;
Essências de narguile;ZIGGY - RED LEMONADE;LIMÃO E FRUTAS VERMELHAS;23,50;63;
Essências de narguile;ZIGGY - SORVETE DE LIMÃO;MARACUJÁ;23,50;519;
Essências de narguile;ZIGGY - TROPICAL;LIMÃO ABACAXI, MARACUJÁ E MAMÃO.;23,50;515;
Essências de narguile;ZIGGY - YELLOW STARBURST;MARACUJÁ;23,50;517;
Essências de narguile;ZIGGY - YOGURT;LIMÃO REFRESCANTE;23,50;591;
Essências de narguile;ZIGGY EDIÇÃO COPA;Laranja com Limão: Um mix cítrico e refrescante que equilibra a doçura da laranja com o toque marcante do limão, entregando fumaça densa e aroma intenso.Goiaba com Maracujá: Uma combinação tropical adocicada com um fundo levemente ácido e refrescante;23,50;590;
Carvão;BRO - 1KG;Carvão para narguile;90,00;383;https://images.tcdn.com.br/img/img_prod/1211384/bro_1kg_1101_1_afdafaaa1c76488f70794c27ad83078c.jpeg
Papel alumínio;ALUMÍNIO PREDATOR;Papel alumínio para narguile;34,00;28;https://images.tcdn.com.br/img/img_prod/1211384/aluminio_predator_89_1_b63a45a5643d30c208516ce36001fa35.jpg
Papel alumínio;ALUMINY;Papel alumínio para narguile;65,00;29;https://images.tcdn.com.br/img/img_prod/1211384/aluminy_91_1_96155f0398ea624d1de8fea9688474e7.jpg
